time,load,wind_power,solar_power,temp,wind_speed,irradiance,snowfall,visibility,precipitation,humidity,dhi,dni,ghi,season,day_of_week
2021-05-11 23:00:00,24643.58333333333,2565.75,0.0,16.503333333333334,1.6283333333333332,0.0,0.0,10000.0,0.0,50.79466666666667,0.0,0.0,0.0,spring,1
2021-05-12 00:00:00,23243.0,2599.4166666666665,0.0,16.12,1.5650000000000002,0.0,0.0,10000.0,0.0,51.149,0.0,0.0,0.0,spring,2
2021-05-12 01:00:00,22134.75,2371.0,0.0,15.788333333333334,1.5766666666666669,0.0,0.0,10000.0,0.0,51.583333333333336,0.0,0.0,0.0,spring,2
2021-05-12 02:00:00,21427.83333333333,2268.1666666666665,0.0,15.468333333333334,1.6033333333333335,0.0,0.0,10000.0,0.0,52.181,0.0,0.0,0.0,spring,2
2021-05-12 03:00:00,21082.58333333333,2031.4166666666667,0.0,15.105000000000002,1.63,0.0,0.0,10000.0,0.0,53.07066666666666,0.0,0.0,0.0,spring,2
2021-05-12 04:00:00,21236.58333333333,1537.25,0.0,15.123333333333337,1.665,0.4666666666666666,0.0,10000.0,0.0,53.45016666666667,0.3999999999999999,2.333333333333333,0.4666666666666666,spring,2
2021-05-12 05:00:00,22166.666666666668,1192.3333333333333,2.5,16.566666666666666,1.835,70.11666666666667,0.0,10000.0,0.0,51.5275,33.583333333333336,264.1166666666667,70.11666666666667,spring,2
2021-05-12 06:00:00,23270.5,1159.0,1415.4166666666667,19.35333333333333,2.206666666666667,255.78333333333333,0.0,10000.0,0.0,45.67683333333333,72.0,598.0833333333334,255.78333333333333,spring,2
2021-05-12 07:00:00,24228.58333333333,865.0833333333334,6562.5,22.18166666666667,2.5033333333333334,425.6666666666667,0.0,10000.0,0.0,38.13966666666666,99.85,669.2166666666666,425.6666666666667,spring,2
2021-05-12 08:00:00,24603.33333333333,608.1666666666666,10386.0,24.548333333333336,2.678333333333333,506.1833333333333,0.0,10000.0,0.0,32.972833333333334,153.58333333333334,528.2833333333334,506.1833333333333,spring,2
2021-05-12 09:00:00,24068.83333333333,454.0833333333333,11745.833333333334,26.44,2.8866666666666667,654.7333333333333,0.0,10000.0,0.0,29.19016666666667,195.01666666666665,572.5,654.7333333333333,spring,2
2021-05-12 10:00:00,23520.83333333333,429.3333333333333,12326.75,27.85166666666667,3.143333333333333,789.6833333333334,0.0,10000.0,0.0,26.425833333333333,233.63333333333333,620.8833333333333,789.6833333333334,spring,2
2021-05-12 11:00:00,23605.5,438.3333333333333,12634.833333333334,28.80666666666667,3.41,906.2333333333332,0.0,10000.0,0.0,24.74466666666667,209.58333333333331,744.4,906.2333333333332,spring,2
2021-05-12 12:00:00,24047.5,541.25,12416.416666666666,29.25666666666667,3.63,934.0666666666666,0.0,10000.0,0.0,24.33966666666667,190.51666666666665,797.4166666666666,934.0666666666666,spring,2
2021-05-12 13:00:00,24890.58333333333,562.6666666666666,12566.833333333334,29.25666666666667,3.758333333333333,872.3666666666667,0.0,10000.0,0.0,24.73783333333333,186.1,779.15,872.3666666666667,spring,2
2021-05-12 14:00:00,25828.916666666668,584.4166666666666,12484.333333333334,28.813333333333336,3.843333333333333,750.25,0.0,10000.0,0.0,25.775333333333336,169.33333333333334,742.9499999999999,750.25,spring,2
2021-05-12 15:00:00,27198.5,875.8333333333334,12089.75,28.44,3.86,579.1833333333334,0.0,10000.0,0.0,26.556,140.78333333333333,679.4499999999999,579.1833333333334,spring,2
2021-05-12 16:00:00,28426.83333333333,1518.0,11048.416666666666,26.558333333333337,3.69,385.4166666666667,0.0,10000.0,0.0,30.219166666666663,108.23333333333332,578.2166666666667,385.4166666666667,spring,2
2021-05-12 17:00:00,29516.5,1991.25,9442.666666666666,24.08333333333333,3.066666666666667,195.85,0.0,10000.0,0.0,35.898500000000006,76.91666666666667,422.48333333333335,195.85,spring,2
2021-05-12 18:00:00,30364.83333333333,2324.0,5152.083333333333,21.12666666666667,2.4166666666666665,56.85,0.0,10000.0,0.0,43.58533333333333,29.366666666666664,192.9,56.85,spring,2
2021-05-12 19:00:00,30566.83333333333,2581.6666666666665,682.25,19.365,2.2433333333333336,1.616666666666667,0.0,10000.0,0.0,47.84583333333333,1.2833333333333332,6.966666666666666,1.616666666666667,spring,2
2021-05-12 20:00:00,30581.5,2773.083333333333,0.0,18.476666666666667,2.1966666666666668,0.0,0.0,10000.0,0.0,49.62033333333333,0.0,0.0,0.0,spring,2
2021-05-12 21:00:00,29171.33333333333,3027.0,0.0,17.656666666666666,2.15,0.0,0.0,10000.0,0.0,51.52466666666667,0.0,0.0,0.0,spring,2
2021-05-12 22:00:00,27001.58333333333,3129.4166666666665,0.0,16.923333333333336,2.095,0.0,0.0,10000.0,0.0,53.403,0.0,0.0,0.0,spring,2
2021-05-12 23:00:00,24873.08333333333,3378.9166666666665,0.0,16.305000000000003,2.095,0.0,0.0,10000.0,0.0,55.12766666666667,0.0,0.0,0.0,spring,2
2021-05-13 00:00:00,23340.416666666668,3616.6666666666665,0.0,15.77,2.1216666666666666,0.0,0.0,10000.0,0.0,56.77216666666667,0.0,0.0,0.0,spring,3
2021-05-13 01:00:00,22339.916666666668,3455.083333333333,0.0,15.295000000000002,2.1633333333333336,0.0,0.0,10000.0,0.0,58.506,0.0,0.0,0.0,spring,3
2021-05-13 02:00:00,21585.25,3485.25,0.0,14.981666666666667,2.12,0.0,0.0,10000.0,0.0,59.665666666666674,0.0,0.0,0.0,spring,3
2021-05-13 03:00:00,21180.25,3476.333333333333,0.0,14.781666666666668,2.0333333333333337,0.0,0.0,10000.0,0.0,60.242,0.0,0.0,0.0,spring,3
2021-05-13 04:00:00,21391.33333333333,3482.75,0.0,15.016666666666667,1.981666666666667,0.6666666666666666,0.0,10000.0,0.0,59.70716666666667,0.6,2.6666666666666665,0.6666666666666666,spring,3
2021-05-13 05:00:00,22311.75,3148.75,1.6666666666666667,16.561666666666667,2.146666666666667,70.01666666666667,0.0,10000.0,0.0,56.693000000000005,35.983333333333334,236.01666666666665,70.01666666666667,spring,3
2021-05-13 06:00:00,23473.33333333333,2779.5,1415.25,19.21333333333333,2.513333333333333,250.5,0.0,10000.0,0.0,49.90016666666667,75.86666666666666,559.8166666666667,250.5,spring,3
2021-05-13 07:00:00,24461.0,2286.583333333333,6453.583333333333,21.81833333333333,2.768333333333333,421.6833333333333,0.0,10000.0,0.0,41.74283333333334,104.85,648.4833333333333,421.6833333333333,spring,3
2021-05-13 08:00:00,25035.25,1796.5833333333333,10468.833333333334,24.08,2.885,493.95,0.0,10000.0,0.0,36.03333333333333,144.35,522.85,493.95,spring,3
