sample_id,scenario_id,scenario_seed,event_type,event_type_code,month,season,season_code,low_wind_flag,low_irradiance_flag,duration_hours,core_n_steps,core_start_offset,core_end_offset,extreme_prob,tail_score,tail_score_zscore,severity_level,cum_deficit,netload_ramp_max,imbalance_duration,imbalance_tau,imbalance_tau_mode,delta_t_hours
S0014,,,高温,3,7,summer,1,0,1,7.0,7,15,21,0.18695652173913044,1.676879193229633,0.6757676801221065,1,15359.83333333334,3277.4166666666533,4.0,26017.312499999996,monthly_quantile,1.0
S0015,,,高温,3,7,summer,1,0,1,8.0,8,15,22,0.2956521739130435,1.2185716037470886,0.21915368253010775,1,9732.645833333332,2920.4166666666715,3.0,26017.312499999996,monthly_quantile,1.0
S0016,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.7565217391304347,0.2790240097086664,-0.7169219851807542,0,414.1875,1982.3333333333285,1.0,27881.145833333336,monthly_quantile,1.0
S0017,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.808695652173913,0.21233263520999412,-0.7833669139001894,0,38.937499999989086,2335.1666666666642,1.0,27881.145833333336,monthly_quantile,1.0
S0019,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.3869565217391304,0.9494429391910556,-0.04898046625907948,0,5970.395833333321,2385.5833333333358,3.0,27881.145833333336,monthly_quantile,1.0
S0020,,,高温,3,8,summer,1,0,1,5.0,5,16,20,0.1782608695652174,1.7245072422188876,0.7232197283656135,1,15702.16666666665,2701.083333333332,4.0,27881.145833333336,monthly_quantile,1.0
S0021,,,高温,3,8,summer,1,0,0,4.0,4,16,19,0.6695652173913044,0.40112670650956617,-0.5952704965681134,0,1191.354166666657,2198.9166666666642,1.0,27881.145833333336,monthly_quantile,1.0
S0022,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.39565217391304347,0.9272198024063454,-0.07112148150553727,0,5687.7083333333285,2181.1666666666642,2.0,27881.145833333336,monthly_quantile,1.0
S0023,,,高温,3,8,summer,1,0,1,8.0,8,15,22,0.09679025160856444,2.3352089962939426,1.3316647457817552,2,24566.35416666665,3081.0000000000073,5.0,27881.145833333336,monthly_quantile,1.0
S0024,,,高温,3,8,summer,1,0,1,8.0,8,15,22,0.14782608695652175,1.911718784307034,0.9097394644335826,2,20928.93749999997,3040.2500000000073,5.0,27881.145833333336,monthly_quantile,1.0
S0025,,,高温,3,8,summer,1,0,1,8.0,8,15,22,0.34782608695652173,1.0560526742493137,0.05723531201798777,0,6999.645833333332,3146.7499999999964,3.0,27881.145833333336,monthly_quantile,1.0
S0027,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.7478260869565218,0.29058483210974234,-0.7054038836848429,0,539.5208333333358,2185.9166666666715,1.0,27881.145833333336,monthly_quantile,1.0
S0028,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.591304347826087,0.5254244231871433,-0.4714320993733669,0,1893.7708333333212,2835.5833333333285,1.0,27881.145833333336,monthly_quantile,1.0
S0029,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.6173913043478261,0.48225225132193467,-0.5144447363719357,0,1668.937499999989,2696.249999999989,1.0,27881.145833333336,monthly_quantile,1.0
S0030,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.6521739130434783,0.4274440148269396,-0.5690504390512288,0,1361.2708333333321,3212.9166666666606,1.0,27881.145833333336,monthly_quantile,1.0
S0031,,,高温,3,8,summer,1,0,0,8.0,8,15,22,0.3347826086956522,1.0942738870695115,0.09531528533536124,0,7405.874999999982,3877.999999999989,2.0,27881.145833333336,monthly_quantile,1.0
S0032,,,高温,3,8,summer,1,1,0,8.0,8,15,22,0.08757522450576447,2.435257146319064,1.4313431861633206,2,27131.85416666665,2834.0000000000146,5.0,27881.145833333336,monthly_quantile,1.0
S0033,,,高温,3,8,summer,1,1,1,8.0,8,15,22,0.09985589758643529,2.304027156403505,1.3005981326787035,2,23748.354166666628,2957.3333333333285,5.0,27881.145833333336,monthly_quantile,1.0
S0034,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.5956521739130435,0.5180983830950705,-0.47873106742392335,0,1891.5208333333358,2740.166666666679,1.0,27881.145833333336,monthly_quantile,1.0
S0035,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.5652173913043478,0.570544858467613,-0.4264783984107276,0,2053.770833333332,2329.916666666668,1.0,27881.145833333336,monthly_quantile,1.0
S0036,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.45217391304347826,0.7936884097818228,-0.20415943328624256,0,4109.791666666657,2181.916666666657,2.0,27881.145833333336,monthly_quantile,1.0
S0037,,,高温,3,8,summer,1,0,0,7.0,7,15,21,0.33043478260869563,1.1073459686368643,0.10833906141565022,0,7541.124999999989,4047.9166666666824,2.0,27881.145833333336,monthly_quantile,1.0
S0038,,,高温,3,9,autumn,2,0,1,7.0,7,15,21,0.21304347826086956,1.546259010812569,0.5456301807038837,1,14174.062499999985,3680.0833333333285,3.0,26109.3125,monthly_quantile,1.0
S0039,,,高温,3,9,autumn,2,0,1,5.0,5,16,20,0.08565596651547765,2.45741639504483,1.4534205494374732,2,27688.10416666665,2331.9166666666642,5.0,26109.3125,monthly_quantile,1.0
S0040,,,高温,3,9,autumn,2,0,1,6.0,6,16,21,0.05536064180218256,2.8938863744924066,1.8882776338891507,3,37814.54166666666,2408.8333333333503,6.0,26109.3125,monthly_quantile,1.0
S0041,,,高温,3,9,autumn,2,0,1,5.0,5,16,20,0.1391304347826087,1.9723434061234688,0.9701400590459476,2,21816.916666666635,2740.0000000000146,4.0,26109.3125,monthly_quantile,1.0
S0042,,,高温,3,9,autumn,2,0,1,6.0,6,16,21,0.2608695652173913,1.3437347467010947,0.343854307976731,1,10744.47916666666,3199.916666666668,3.0,26109.3125,monthly_quantile,1.0
S0043,,,高温,3,5,spring,0,0,0,5.0,5,16,20,0.14347826086956522,1.9415717474567151,0.9394821114168739,2,21194.375000000004,1830.3333333333285,5.0,19349.458333333332,monthly_quantile,1.0
S0044,,,高温,3,5,spring,0,0,0,5.0,5,16,20,0.3,1.2039728043259361,0.20460883030267135,1,9715.749999999996,2239.0833333333358,4.0,19349.458333333332,monthly_quantile,1.0
S0045,,,高温,3,6,summer,1,0,1,6.0,6,15,20,0.32608695652173914,1.120591195386885,0.12153534285224595,1,7602.791666666664,2992.666666666668,3.0,22475.541666666668,monthly_quantile,1.0
S0046,,,高温,3,6,summer,1,0,0,6.0,6,16,21,0.4782608695652174,0.7375989431307791,-0.2600416315698291,0,3270.6666666666642,2493.75,2.0,22475.541666666668,monthly_quantile,1.0
S0047,,,高温,3,6,summer,1,0,0,5.0,5,16,20,0.43478260869565216,0.832909122935104,-0.1650836531064973,0,4591.291666666657,2529.5833333333285,3.0,22475.541666666668,monthly_quantile,1.0
S0050,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.7391304347826086,0.3022808718729337,-0.693751064497852,0,587.8541666666679,2116.5,1.0,26017.312499999996,monthly_quantile,1.0
S0051,,,高温,3,7,summer,1,0,1,7.0,7,15,21,0.19130434782608696,1.6538896750049341,0.6528631154581306,1,15029.75,2954.8333333333285,4.0,26017.312499999996,monthly_quantile,1.0
S0052,,,高温,3,7,summer,1,0,1,8.0,8,15,22,0.17391304347826086,1.749199854809259,0.7478210939214626,1,15842.750000000007,3166.75,4.0,26017.312499999996,monthly_quantile,1.0
S0053,,,高温,3,7,summer,1,0,1,8.0,8,15,22,0.24347826086956523,1.4127276181880462,0.41259222892317826,1,11916.645833333332,3385.7499999999927,3.0,26017.312499999996,monthly_quantile,1.0
S0054,,,高温,3,7,summer,1,0,0,6.0,6,16,21,0.6,0.5108256237659907,-0.4859769516008034,0,1863.2708333333394,2136.5833333333358,1.0,26017.312499999996,monthly_quantile,1.0
S0066,,,高温,3,7,summer,1,0,1,7.0,7,15,21,0.3565217391304348,1.0313600616589422,0.03263394646213879,0,6494.541666666661,3729.833333333325,2.0,26017.312499999996,monthly_quantile,1.0
S0067,,,高温,3,7,summer,1,0,1,7.0,7,15,21,0.3173913043478261,1.1476198677748042,0.14846413572383402,1,8485.29166666666,3892.5833333333394,2.0,26017.312499999996,monthly_quantile,1.0
S0068,,,高温,3,7,summer,1,0,1,7.0,7,15,21,0.28695652173913044,1.2484245668967697,0.24889632951339907,1,9818.312500000015,3173.333333333332,3.0,26017.312499999996,monthly_quantile,1.0
S0069,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.6434782608695652,0.4408670351590804,-0.5556770210361843,0,1476.187499999989,4422.749999999989,1.0,27881.145833333336,monthly_quantile,1.0
S0074,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.691304347826087,0.36917510670296383,-0.6271040250803182,0,1114.1041666666606,4362.416666666661,1.0,27881.145833333336,monthly_quantile,1.0
S0076,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.4956521739130435,0.7018808605286999,-0.29562772452908126,0,3101.104166666668,3112.7500000000036,1.0,27881.145833333336,monthly_quantile,1.0
S0077,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.2217391304347826,1.5062536761988696,0.505772678488851,1,13740.833333333318,2287.166666666668,4.0,27881.145833333336,monthly_quantile,1.0
S0078,,,高温,3,8,summer,1,1,1,10.0,10,14,23,0.014383413800410853,4.241679555669887,3.23109029182382,3,60932.8958333333,2644.75,7.0,27881.145833333336,monthly_quantile,1.0
S0079,,,高温,3,8,summer,1,1,1,10.0,10,14,23,0.012639099503573394,4.370960134607146,3.359893138021936,3,62632.74999999997,3113.1666666666642,8.0,27881.145833333336,monthly_quantile,1.0
S0080,,,高温,3,8,summer,1,1,1,9.0,9,14,22,0.10869565217391304,2.2192034840549946,1.216087910700452,2,23349.6875,3355.5,5.0,27881.145833333336,monthly_quantile,1.0
S0081,,,高温,3,8,summer,1,1,1,10.0,10,14,23,0.01480566462931941,4.212745426216052,3.2022630831544694,3,60541.87499999996,2719.6666666666642,10.0,27881.145833333336,monthly_quantile,1.0
S0082,,,高温,3,8,summer,1,0,1,9.0,9,14,22,0.0038573098487526586,5.557785268849225,4.542332577003943,3,75133.45833333328,3072.8333333333285,10.0,27881.145833333336,monthly_quantile,1.0
S0083,,,高温,3,8,summer,1,1,1,7.0,7,15,21,0.04972159531163426,3.001315926940566,1.9953102000708671,3,40080.06249999999,2254.6666666666642,7.0,27881.145833333336,monthly_quantile,1.0
S0084,,,高温,3,8,summer,1,1,1,6.0,6,16,21,0.09324407687286389,2.3725347412652793,1.3688525602879573,2,25533.93749999997,2508.833333333321,5.0,27881.145833333336,monthly_quantile,1.0
S0085,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.07420791751647707,2.600884429427569,1.5963584239337973,2,31187.624999999978,2630.8333333333285,6.0,27881.145833333336,monthly_quantile,1.0
S0086,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.15217391304347827,1.8827312474337816,0.8808590457021677,2,18172.66666666665,3059.7500000000036,4.0,27881.145833333336,monthly_quantile,1.0
S0087,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.26521739130434785,1.327205444749884,0.3273860870383234,1,10573.145833333321,2584.0833333333285,3.0,27881.145833333336,monthly_quantile,1.0
S0088,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.13478260869565217,2.0040921044380493,1.0017714358514918,2,21880.020833333314,2625.0833333333358,5.0,27881.145833333336,monthly_quantile,1.0
S0089,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.30869565217391304,1.17539943188188,0.17614104553153895,1,9511.395833333328,2534.25,3.0,27881.145833333336,monthly_quantile,1.0
S0090,,,高温,3,8,summer,1,0,1,5.0,5,16,20,0.4826086956521739,0.7285491076108612,-0.26905802507744125,0,3169.458333333321,2179.2499999999927,2.0,27881.145833333336,monthly_quantile,1.0
S0091,,,高温,3,8,summer,1,0,1,5.0,5,16,20,0.4391304347826087,0.8229587920819359,-0.17499721433152068,0,4575.124999999982,2710.250000000011,2.0,27881.145833333336,monthly_quantile,1.0
S0092,,,高温,3,8,summer,1,0,1,5.0,5,16,20,0.5521739130434783,0.593892222464604,-0.40321731032807523,0,2266.520833333325,3045.9166666666642,1.0,27881.145833333336,monthly_quantile,1.0
S0094,,,高温,3,9,autumn,2,1,1,5.0,5,16,20,0.5608695652173913,0.5782669045615233,-0.4187848877260997,0,2088.3541666666533,2518.9166666666606,1.0,26109.3125,monthly_quantile,1.0
S0095,,,高温,3,9,autumn,2,1,1,7.0,7,15,21,0.12173913043478261,2.1058747987479913,1.103178010826653,2,22952.33333333333,3399.5833333333358,4.0,26109.3125,monthly_quantile,1.0
S0096,,,高温,3,9,autumn,2,0,1,8.0,8,15,22,0.021268198323932373,3.850542358391404,2.841398470534308,3,55299.12499999997,3677.2500000000146,6.0,26109.3125,monthly_quantile,1.0
S0097,,,高温,3,9,autumn,2,1,1,10.0,10,14,23,0.0016804182159217609,6.388712578498237,5.370189346723989,3,81273.83333333331,3346.666666666657,8.0,26109.3125,monthly_quantile,1.0
S0098,,,高温,3,9,autumn,2,0,1,8.0,8,14,21,0.11739130434782609,2.1422424429188665,1.1394112650187027,2,23160.93749999997,2416.416666666679,5.0,26109.3125,monthly_quantile,1.0
S0099,,,高温,3,9,autumn,2,0,0,4.0,4,17,20,0.3217391304347826,1.1340142157190256,0.13490876086729028,1,8112.958333333318,3029.7499999999927,2.0,26109.3125,monthly_quantile,1.0
S0100,,,高温,3,9,autumn,2,0,0,5.0,5,16,20,0.07576049090561003,2.580178350378607,1.5757288604136357,2,30693.270833333292,3621.0,5.0,26109.3125,monthly_quantile,1.0
S0101,,,高温,3,10,autumn,2,1,0,6.0,6,16,21,0.02262839246517225,3.788549857424474,2.779635051518717,3,54333.75,3655.333333333314,6.0,22707.416666666664,monthly_quantile,1.0
S0102,,,高温,3,10,autumn,2,1,1,5.0,5,16,20,0.04363993698224165,3.1317825620549353,2.1252947195923744,3,42720.000000000015,3320.6666666666715,6.0,22707.416666666664,monthly_quantile,1.0
S0103,,,高温,3,10,autumn,2,1,0,4.0,4,17,20,0.26956521739130435,1.310944923878104,0.3111856539480169,1,10351.416666666682,3012.0000000000036,3.0,22707.416666666664,monthly_quantile,1.0
S0104,,,高温,3,6,summer,1,0,0,5.0,5,16,20,0.25217391304347825,1.377636298376776,0.3776305826674519,1,10957.458333333328,3350.999999999989,3.0,22475.541666666668,monthly_quantile,1.0
S0105,,,高温,3,6,summer,1,0,1,8.0,8,15,22,0.0884785703215211,2.4249948995493145,1.4211188616499484,2,26872.791666666635,2686.1666666666606,5.0,22475.541666666668,monthly_quantile,1.0
S0106,,,高温,3,6,summer,1,0,1,8.0,8,15,22,0.05347257448158973,2.9285863830304093,1.9228494148908646,3,38555.583333333314,2898.916666666668,6.0,22475.541666666668,monthly_quantile,1.0
S0107,,,高温,3,6,summer,1,0,1,8.0,8,15,22,0.06018620564684819,2.810312095003353,1.8050121878675083,3,35992.624999999985,2242.9166666666715,7.0,22475.541666666668,monthly_quantile,1.0
S0108,,,高温,3,6,summer,1,0,1,7.0,7,15,21,0.3782608695652174,0.9721711902686117,-0.026336203277279587,0,6094.499999999982,3568.083333333332,2.0,22475.541666666668,monthly_quantile,1.0
S0111,,,高温,3,6,summer,1,0,1,7.0,7,15,21,0.6043478260869565,0.5036053757925038,-0.49317051846820303,0,1854.0416666666642,3910.583333333332,1.0,22475.541666666668,monthly_quantile,1.0
S0112,,,高温,3,6,summer,1,0,1,8.0,8,15,22,0.4260869565217391,0.8531118302526235,-0.1449556011995911,0,4664.083333333321,3236.0,2.0,22475.541666666668,monthly_quantile,1.0
S0113,,,高温,3,6,summer,1,0,1,7.0,7,15,21,0.1608695652173913,1.827161396278971,0.8254945427707651,2,17265.74999999997,2487.0,4.0,22475.541666666668,monthly_quantile,1.0
S0114,,,高温,3,7,summer,1,0,0,6.0,6,16,21,0.6217391304347826,0.47523467866328817,-0.5214363768740594,0,1643.1875000000073,2764.583333333332,1.0,26017.312499999996,monthly_quantile,1.0
S0119,,,高温,3,7,summer,1,0,1,7.0,7,15,21,0.5434782608695652,0.6097655716208943,-0.3874026182309824,0,2536.7708333333394,3571.0833333333358,1.0,26017.312499999996,monthly_quantile,1.0
S0120,,,高温,3,7,summer,1,0,1,8.0,8,15,22,0.16956521739130434,1.774517662793549,0.7730453445759753,1,16079.500000000015,2951.75,4.0,26017.312499999996,monthly_quantile,1.0
S0121,,,高温,3,7,summer,1,0,1,9.0,9,14,22,0.10434782608695652,2.26002547857525,1.256759055004691,2,23556.95833333335,2263.1666666666642,6.0,26017.312499999996,monthly_quantile,1.0
S0122,,,高温,3,7,summer,1,0,1,10.0,10,14,23,0.1956521739130435,1.6314168191528755,0.6304733039354741,1,14359.479166666664,3261.416666666668,3.0,26017.312499999996,monthly_quantile,1.0
S0123,,,高温,3,7,summer,1,0,1,8.0,8,15,22,0.5695652173913044,0.5628819857220437,-0.434112954411303,0,1984.2708333333358,3537.4166666666606,1.0,26017.312499999996,monthly_quantile,1.0
S0124,,,高温,3,7,summer,1,0,1,6.0,6,16,21,0.8043478260869565,0.21772348384487053,-0.7779959861606696,0,39.93750000000364,2032.0833333333358,1.0,26017.312499999996,monthly_quantile,1.0
S0125,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.782608695652174,0.24512245803298496,-0.7506982598714752,0,137.85416666666788,1894.7500000000073,1.0,26017.312499999996,monthly_quantile,1.0
S0128,,,高温,3,7,summer,1,0,0,6.0,6,16,21,0.7913043478260869,0.23407262184640004,-0.761707263409012,0,78.52083333332848,2642.7499999999927,1.0,26017.312499999996,monthly_quantile,1.0
S0129,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.44782608695652176,0.8033503206935596,-0.1945332261994975,0,4388.708333333336,2060.5,2.0,26017.312499999996,monthly_quantile,1.0
S0130,,,高温,3,7,summer,1,0,0,4.0,4,16,19,0.3695652173913043,0.995428052432879,-0.0031652825943771965,0,6228.562500000015,2123.916666666668,3.0,26017.312499999996,monthly_quantile,1.0
S0131,,,高温,3,7,summer,1,0,0,4.0,4,17,20,0.5260869565217391,0.6422887633264543,-0.35499961003316083,0,2749.958333333343,2641.4166666666642,2.0,26017.312499999996,monthly_quantile,1.0
S0132,,,高温,3,7,summer,1,0,0,4.0,4,17,20,0.5739130434782609,0.5552773863368244,-0.44168945239007557,0,1974.708333333343,2187.5833333333358,2.0,26017.312499999996,monthly_quantile,1.0
S0133,,,高温,3,7,summer,1,0,0,4.0,4,17,20,0.7652173913043478,0.26759531388504354,-0.7283084483488187,0,338.0208333333321,2270.1666666666642,1.0,26017.312499999996,monthly_quantile,1.0
S0134,,,高温,3,7,summer,1,0,1,5.0,5,16,20,0.36086956521739133,1.0192387011265973,0.02055737820112226,0,6265.062499999996,2505.25,3.0,26017.312499999996,monthly_quantile,1.0
S0135,,,高温,3,7,summer,1,0,0,5.0,5,16,20,0.3130434782608696,1.16141318990714,0.16220648715648456,1,9025.729166666682,2426.6666666666715,3.0,26017.312499999996,monthly_quantile,1.0
S0137,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.6608695652173913,0.41419878807691907,-0.5822467204878244,0,1231.7708333333358,2290.0,1.0,27881.145833333336,monthly_quantile,1.0
S0138,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.3391304347826087,1.0813704822336037,0.08245956267250058,0,7379.312499999978,3523.666666666679,3.0,27881.145833333336,monthly_quantile,1.0
S0139,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.717391304347826,0.3321338350226148,-0.6640084175145606,0,777.9375,2389.4166666666642,1.0,27881.145833333336,monthly_quantile,1.0
S0143,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.9065217391304348,0.09814026768433926,-0.8971373044129346,0,0.0,3675.2499999999964,0.0,27881.145833333336,monthly_quantile,1.0
S0144,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.6304347826086957,0.46134556650262093,-0.5352741643605079,0,1508.4374999999854,2725.833333333321,1.0,27881.145833333336,monthly_quantile,1.0
S0145,,,高温,3,8,summer,1,1,1,7.0,7,15,21,0.1826086956521739,1.7004096906398272,0.6992112248819214,1,15679.833333333307,4041.7500000000073,4.0,27881.145833333336,monthly_quantile,1.0
S0146,,,高温,3,8,summer,1,0,0,6.0,6,16,21,0.2391304347826087,1.4307461236907244,0.4305441503336455,1,12194.229166666646,2813.666666666675,3.0,27881.145833333336,monthly_quantile,1.0
S0147,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.3652173913043478,1.0072625100798818,0.008625442978446727,0,6254.708333333336,2777.1666666666642,2.0,27881.145833333336,monthly_quantile,1.0
S0149,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.5173913043478261,0.658955815811666,-0.3383941475926616,0,2954.187499999989,2966.0,1.0,27881.145833333336,monthly_quantile,1.0
S0150,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.5478260869565217,0.6017974019717175,-0.39534134296628465,0,2477.770833333325,3416.3333333333394,1.0,27881.145833333336,monthly_quantile,1.0
S0151,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.20434782608695654,1.5879317072131367,0.5871488832751962,1,14254.249999999975,2680.333333333325,4.0,27881.145833333336,monthly_quantile,1.0
S0152,,,高温,3,8,summer,1,0,0,5.0,5,16,20,0.5826086956521739,0.540239508972284,-0.4566717600286502,0,1958.9375,3501.2500000000146,1.0,27881.145833333336,monthly_quantile,1.0
S0153,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.20869565217391303,1.5668782980153044,0.5661732731012161,1,14217.562499999978,4895.416666666657,3.0,27881.145833333336,monthly_quantile,1.0
S0154,,,高温,3,8,summer,1,0,1,7.0,7,15,21,0.2826086956521739,1.2636920390275583,0.26410738349274704,1,10220.541666666653,4610.166666666675,2.0,27881.145833333336,monthly_quantile,1.0
S0155,,,高温,3,8,summer,1,0,1,8.0,8,15,22,0.3739130434782609,0.9837320126696876,-0.014818101781368269,0,6214.874999999989,4337.833333333339,2.0,27881.145833333336,monthly_quantile,1.0
S0156,,,高温,3,8,summer,1,0,1,6.0,6,16,21,0.5043478260869565,0.6844891178168307,-0.3129551992360227,0,3034.624999999978,2576.5000000000036,2.0,27881.145833333336,monthly_quantile,1.0
S0157,,,高温,3,9,autumn,2,0,1,5.0,5,16,20,0.7521739130434782,0.28478771442541645,-0.7111795791808306,0,463.5208333333285,4394.749999999993,1.0,26109.3125,monthly_quantile,1.0
S0158,,,高温,3,9,autumn,2,1,1,6.0,6,16,21,0.5,0.6931471805599453,-0.30432913078055707,0,3035.604166666668,4542.500000000004,1.0,26109.3125,monthly_quantile,1.0
S0159,,,高温,3,9,autumn,2,0,1,6.0,6,16,21,0.4043478260869565,0.9054798157699394,-0.09278113199671476,0,5538.708333333332,3807.833333333332,2.0,26109.3125,monthly_quantile,1.0
S0160,,,高温,3,9,autumn,2,1,1,8.0,8,15,22,0.11304347826086956,2.1799827709017134,1.1770121305207069,2,23288.83333333332,3813.916666666679,4.0,26109.3125,monthly_quantile,1.0
S0161,,,高温,3,9,autumn,2,0,1,7.0,7,15,21,0.07051286674485133,2.6519600787971265,1.647245332580832,3,32391.9375,3593.5833333333503,5.0,26109.3125,monthly_quantile,1.0
S0162,,,高温,3,9,autumn,2,0,1,6.0,6,16,21,0.12608695652173912,2.0707834789367214,1.0682163645709268,2,22671.083333333314,2988.8333333333358,4.0,26109.3125,monthly_quantile,1.0
S0163,,,高温,3,9,autumn,2,0,1,5.0,5,16,20,0.6347826086956522,0.45447268721485895,-0.5421216461796406,0,1503.4374999999927,4347.749999999993,1.0,26109.3125,monthly_quantile,1.0
S0164,,,高温,3,9,autumn,2,0,1,5.0,5,16,20,0.4652173913043478,0.7652504744612892,-0.23249228141697612,0,3769.9375000000036,3897.666666666668,1.0,26109.3125,monthly_quantile,1.0
S0165,,,高温,3,9,autumn,2,0,1,5.0,5,16,20,0.5391304347826087,0.6177977433181585,-0.3794001279554579,0,2602.104166666668,4126.166666666668,1.0,26109.3125,monthly_quantile,1.0
S0166,,,大风/沙尘暴,2,1,winter,3,0,1,7.0,7,15,21,0.4434782608695652,0.8131064956389243,-0.18481310341462365,0,4501.645833333339,1651.4999999999964,3.0,22820.145833333332,monthly_quantile,1.0
S0167,,,大风/沙尘暴,2,1,winter,3,0,1,9.0,9,14,22,0.29130434782608694,1.2333866895322294,0.2339140218748246,1,9732.91666666666,2565.916666666668,4.0,22820.145833333332,monthly_quantile,1.0
S0168,,,大风/沙尘暴,2,1,winter,3,0,0,4.0,4,16,19,0.16521739130434782,1.8004931491968097,0.7989248433191249,2,16487.29166666666,2565.916666666668,6.0,22820.145833333332,monthly_quantile,1.0
S0169,,,大风/沙尘暴,2,1,winter,3,0,1,7.0,7,15,21,0.7260869565217392,0.32008549650644025,-0.6760122335989146,0,734.6875000000036,2386.333333333332,1.0,22820.145833333332,monthly_quantile,1.0
S0170,,,大风/沙尘暴,2,1,winter,3,0,1,9.0,9,14,22,0.7043478260869566,0.3504829736908112,-0.6457270847329786,0,867.7708333333358,5355.833333333332,1.0,22820.145833333332,monthly_quantile,1.0
S0171,,,大风/沙尘暴,2,2,winter,3,0,1,12.0,12,12,23,0.6869565217391305,0.3754842758962285,-0.6208181702681089,0,1134.7916666666679,2674.1666666666715,1.0,21859.458333333332,monthly_quantile,1.0
