method,mean_risk_score,mean_risk_rank,wins_count,top3_count,available_dataset_count,avg_q99_cum_deficit_error,avg_core_q99_cum_deficit_error,avg_netload_ramp_max_mae,avg_imbalance_duration_mae,avg_extreme_degree_match_rate
targeted_seed47_RiskKNN_Bootstrap_Generator,0.45832307961939084,66.0,0,0,3,34.41930684978349,18.061987773053193,1.9394323022658237,7.522045855379189,0.35912698412698413
targeted_seed46_RiskKNN_Bootstrap_Generator,0.45875389016705853,69.33333333333333,0,0,3,32.704882870015645,17.809921995109253,1.920032163740436,7.288139329805997,0.3384038800705467
TargetSelected_val_calibrated_targeted_expanded_pool_global_q99,0.4604901114780149,69.66666666666667,0,0,3,44.681219994923005,12.41402554407827,1.9291307255495862,7.763447971781306,0.306657848324515
TargetSelected_val_calibrated_all_method_pool_paper_weights,0.46432805022683005,73.33333333333333,0,0,3,39.497851000659765,10.921866156546857,1.9841438337531319,7.7519841269841265,0.3205467372134039
targeted_seed45_Conditional_TCN_Risk_Generator,0.4650840056801003,69.0,0,0,3,50.632838033014195,13.489348449063575,1.9393029305851395,7.433201058201058,0.2892416225749559
targeted_seed45_RiskKNN_Bootstrap_Generator,0.4654401263032824,69.0,0,0,3,33.53505568983009,18.166429823026643,1.981224772033503,7.632495590828924,0.3783068783068783
TargetSelected_val_calibrated_all_method_pool_global_q99,0.47797812119436633,72.33333333333333,0,0,3,43.91899137248648,13.164513538666839,1.9832517722560683,7.77799823633157,0.29276895943562614
TargetSelected_val_calibrated_targeted_expanded_pool_paper_weights,0.4784113409118819,76.66666666666667,0,0,3,48.29013337451943,13.18075936495272,1.881711839565363,7.679232804232804,0.3205467372134039
TargetSelected_val_calibrated_targeted_expanded_pool_duration_guard,0.47983837535676693,79.0,0,0,3,48.29013337451943,12.83462063502958,1.8169283170272645,8.074955908289242,0.27491181657848324
enhanced_gan,0.480064150462226,72.66666666666667,0,0,3,32.12266714195313,15.341598664322754,1.813699223856042,6.967372134038801,0.4462081128747795
TargetSelected_val_calibrated_targeted_expanded_pool_global_main,0.4810747100958017,72.66666666666667,0,0,3,44.46750725588199,11.657068344752958,1.9692833473500109,8.185405643738978,0.2996031746031746
targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.48114509180525017,71.66666666666667,0,0,3,39.36050338861112,15.433990853732277,1.969586567642942,8.09920634920635,0.314373897707231
TargetSelected_val_calibrated_all_method_pool_global_main,0.49371132537470297,74.66666666666667,0,0,3,46.3192857176089,12.951826164959,1.9309468563348677,8.230599647266315,0.28571428571428564
TargetSelected_val_calibrated_all_method_pool_duration_guard,0.4991332946882335,81.33333333333333,0,0,3,48.29013337451943,12.955154452400537,1.8749578510235227,8.175925925925926,0.2888007054673722
targeted_seed45_Conditional_Transformer_Risk_Generator,0.5090508898975962,78.33333333333333,0,0,3,44.20760795275631,13.421905856019402,2.1283257544638463,8.093033509700176,0.3452380952380952
targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula,0.5427154495089791,86.0,0,0,3,39.091096697757,18.97490798086916,2.0151588375767098,8.297398589065255,0.2892416225749559
ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5563997737552483,75.33333333333333,0,0,3,49.526316011448024,21.481890653108604,2.0634880487700227,7.71141975308642,0.25110229276895946
targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5563997737552483,75.33333333333333,0,0,3,49.526316011448024,21.481890653108604,2.0634880487700227,7.71141975308642,0.25110229276895946
targeted_seed46_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5563997737552483,75.33333333333333,0,0,3,49.526316011448024,21.481890653108604,2.0634880487700227,7.71141975308642,0.25110229276895946
targeted_seed47_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5563997737552483,75.33333333333333,0,0,3,49.526316011448024,21.481890653108604,2.0634880487700227,7.71141975308642,0.25110229276895946
targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.5870323409540822,91.66666666666667,0,0,3,48.22693877477722,16.52778621663801,2.134432237879634,7.387345679012346,0.408068783068783
targeted_seed46_Conditional_Transformer_Risk_Generator,0.6070201714997877,93.0,0,0,3,69.2329660205924,13.912902879631291,2.0047354684964316,8.216931216931217,0.3525132275132275
targeted_seed46_Expanded_ValSelected_Model_Ensemble,0.6268222884800658,92.33333333333333,0,0,3,55.709216806236306,15.600550863850065,2.124263053817986,8.320326278659612,0.408068783068783
targeted_seed46_Expanded_ValSelected_Model_Ensemble_Margin_0.05,0.6268222884800658,92.33333333333333,0,0,3,55.709216806236306,15.600550863850065,2.124263053817986,8.320326278659612,0.408068783068783
traditional_gaussian_copula,0.6614099189424127,95.66666666666667,0,0,3,38.339353395112184,15.485462454393366,2.4596746150587254,9.763668430335096,0.27336860670194
